,rmse,mae,r2,ece,mean_interval_width,empirical_coverage,spearman_rho
Ensemble,0.35175969633268356,0.26746830344200134,0.9121635556221008,0.15055714285714286,0.8296362161636353,0.9011904761904762,0.2806973325399513
Laplace,0.6088449912009383,0.4584304690361023,0.7368544340133667,0.08663619047619045,1.5903818074832543,0.9011904761904762,0.01190376646549345
Conformal,0.6088449912009383,0.4584304690361023,0.7368544340133667,0.8872857142857149,2.1587421894073486,0.9011904761904762,
